frame,tracker_id,class_name,x_canon,y_canon,jugador,velocidad_10a,distancia_pelota_10a
105,2,robot,88.875,75.875,10a,0.0,45.33348651934903
106,2,robot,88.875,75.875,10a,0.25,45.20871735627986
107,2,robot,88.875,75.75,10a,0.0,45.20871735627986
108,2,robot,88.875,75.75,10a,0.0,45.20871735627986
109,2,robot,88.875,75.875,10a,0.25,43.64057744805859
110,2,robot,88.875,75.75,10a,0.0,40.41290790081803
111,2,robot,88.875,75.75,10a,0.0,35.83512592415436
112,2,robot,88.875,75.875,10a,0.25,30.98638814060135
113,2,robot,88.75,75.875,10a,0.3535533905932738,25.760920014626805
114,2,robot,88.875,75.875,10a,0.0,20.530845696171408
115,2,robot,88.75,75.75,10a,0.3535533905932738,15.074813431681335
116,2,robot,88.75,75.75,10a,0.5590169943749475,12.811127975318957
117,2,robot,88.875,75.875,10a,0.3535533905932738,13.96983357094851
118,2,robot,88.875,75.75,10a,0.25,14.797064742711644
119,2,robot,88.875,75.75,10a,0.25,16.67567464902095
120,2,robot,88.875,75.75,10a,0.25,16.949373144750812
121,2,robot,88.875,75.75,10a,0.25,16.16032951396722
122,2,robot,88.875,75.75,10a,0.0,15.951586911652395
123,2,robot,88.875,75.75,10a,0.0,15.57742757967438
124,2,robot,88.875,75.75,10a,0.25,15.143583624756724
125,2,robot,88.875,75.875,10a,0.25,14.783859441972519
126,2,robot,88.875,75.875,10a,0.25,15.900078616157845
127,2,robot,88.875,75.75,10a,0.25,18.019520665100945
128,2,robot,88.875,75.75,10a,0.3535533905932738,25.667647437971404
129,2,robot,88.875,75.75,10a,0.25,35.35047736594232
130,2,robot,88.875,75.875,10a,0.3535533905932738,39.52254103672991
131,2,robot,88.875,75.75,10a,0.25,
132,2,robot,88.875,75.875,10a,0.0,39.260746936348525
133,2,robot,88.875,75.75,10a,0.0,35.75305930965908
134,2,robot,88.875,75.875,10a,0.25,
135,2,robot,88.875,75.875,10a,0.25,29.062432795621223
136,2,robot,88.875,75.75,10a,0.0,
137,2,robot,88.875,75.875,10a,0.25,36.46959349924263
138,2,robot,88.875,75.875,10a,0.25,
139,2,robot,88.875,75.875,10a,0.25,37.217687327398515
140,2,robot,88.875,75.875,10a,0.0,36.585516259853435
141,2,robot,88.875,75.875,10a,0.0,
142,2,robot,88.875,75.875,10a,0.25,30.387600267214257
143,2,robot,88.875,75.875,10a,0.25,29.13009612067904
144,2,robot,88.875,75.75,10a,0.0,36.45759523062375
145,2,robot,88.875,75.875,10a,0.0,44.827621228434595
146,2,robot,88.875,75.875,10a,0.25,48.40615921553785
147,2,robot,88.875,75.875,10a,0.0,45.05083933735308
148,2,robot,88.875,75.875,10a,0.25,
149,2,robot,88.875,76.0,10a,0.25,
150,2,robot,88.875,76.0,10a,0.25,
151,2,robot,88.875,75.875,10a,0.25,46.320385630950874
152,2,robot,88.75,75.875,10a,0.25,
153,2,robot,88.75,75.875,10a,0.25,49.86638396755875
154,2,robot,88.75,75.875,10a,0.25,52.51339114930591
155,2,robot,88.75,75.875,10a,0.25,
156,2,robot,88.875,75.75,10a,0.25,
157,2,robot,88.75,75.875,10a,0.25,
158,2,robot,88.75,75.875,10a,0.25,
159,2,robot,88.875,75.75,10a,0.0,
160,2,robot,88.75,75.75,10a,0.3535533905932738,
161,2,robot,88.75,75.875,10a,0.25,
162,2,robot,88.75,75.875,10a,0.25,
163,2,robot,88.75,75.75,10a,0.3535533905932738,
164,2,robot,88.75,75.75,10a,0.5590169943749475,
165,2,robot,88.75,75.875,10a,0.3535533905932738,
166,2,robot,88.75,75.75,10a,0.3535533905932738,
167,2,robot,88.75,75.75,10a,0.25,
168,2,robot,88.875,75.75,10a,0.3535533905932738,
169,2,robot,88.875,75.875,10a,0.25,
170,2,robot,88.875,75.875,10a,0.25,86.82570543911521
171,2,robot,88.75,75.875,10a,0.3535533905932738,
172,2,robot,88.875,75.875,10a,0.25,147.05441169852742
173,2,robot,88.875,75.875,10a,0.25,135.52790303107327
174,2,robot,88.875,75.875,10a,0.25,126.63246522910308
175,2,robot,88.875,75.875,10a,0.3535533905932738,114.54563773885063
176,2,robot,88.875,75.75,10a,0.3535533905932738,105.5877153129094
177,2,robot,88.875,75.75,10a,0.3535533905932738,103.83911835141899
178,2,robot,88.75,75.75,10a,0.0,103.04041986036353
179,2,robot,88.75,75.75,10a,0.0,105.02150077484134
180,2,robot,88.75,75.875,10a,0.0,108.50590421723604
181,2,robot,88.75,75.75,10a,0.0,112.40614140250523
182,2,robot,88.75,75.875,10a,0.25,115.88315774951941
183,2,robot,88.75,76.0,10a,0.5590169943749475,119.33572652395426
184,2,robot,88.75,76.0,10a,0.3535533905932738,120.56280780157702
185,2,robot,88.75,76.0,10a,0.3535533905932738,116.32954267940711
186,2,robot,88.75,76.0,10a,0.25,113.52711680475286
187,2,robot,88.875,75.875,10a,0.0,108.973620661149
188,2,robot,88.875,76.0,10a,0.25,104.68583953907041
189,2,robot,88.875,76.0,10a,0.25,100.2697143957237
190,2,robot,88.75,75.875,10a,0.25,95.2644346017967
191,2,robot,88.75,76.0,10a,0.5590169943749475,91.84914602215962
192,2,robot,88.75,75.875,10a,0.3535533905932738,91.71397453496387
193,2,robot,88.75,76.25,10a,1.0,93.06759975952963
194,2,robot,88.875,76.0,10a,0.5590169943749475,
195,2,robot,88.75,75.875,10a,0.0,
196,2,robot,88.75,75.875,10a,0.25,
197,2,robot,88.75,75.75,10a,0.25,89.72153100008939
198,2,robot,88.875,75.875,10a,0.3535533905932738,
199,2,robot,88.875,75.875,10a,0.3535533905932738,
200,2,robot,88.875,75.875,10a,0.3535533905932738,
201,2,robot,88.875,75.875,10a,0.3535533905932738,42.9339973098243
202,2,robot,89.0,75.625,10a,0.5590169943749475,42.39730239060028
203,2,robot,88.875,75.875,10a,0.25,40.62673073236388
204,2,robot,88.875,75.875,10a,0.25,39.75962933680343
205,2,robot,88.875,75.875,10a,0.25,39.27865196261195
206,2,robot,88.875,75.75,10a,0.5590169943749475,39.90809754924431
207,2,robot,88.875,75.75,10a,0.3535533905932738,39.5506005011302
208,2,robot,88.875,75.75,10a,1.0307764064044151,39.446561954117115
209,2,robot,88.875,75.75,10a,0.5,39.40356107003528
210,2,robot,88.875,75.75,10a,0.3535533905932738,36.49828763106565
211,2,robot,88.875,75.875,10a,0.25,38.6575510088262
212,2,robot,88.875,75.875,10a,0.3535533905932738,58.51348669324022
213,2,robot,88.875,75.875,10a,0.0,67.86245279976255
214,2,robot,88.875,75.875,10a,0.0,65.71588944083463
215,2,robot,88.875,75.875,10a,0.0,
216,2,robot,88.875,75.875,10a,0.0,
217,2,robot,88.875,75.875,10a,0.5590169943749475,
218,2,robot,88.875,75.875,10a,0.0,76.262396533285
219,2,robot,88.875,75.875,10a,0.0,
220,2,robot,88.875,75.75,10a,0.25,44.56911767132035
221,2,robot,88.875,75.875,10a,0.25,42.626649528200076
222,2,robot,88.875,75.875,10a,0.25,41.56790378404954
223,2,robot,88.875,75.875,10a,0.25,41.63701027931761
224,2,robot,88.875,75.875,10a,0.25,40.701850387912344
225,2,robot,88.875,75.875,10a,0.25,36.5551808913593
226,2,robot,88.875,75.875,10a,0.0,
227,2,robot,88.875,75.875,10a,0.0,74.07607997862738
228,2,robot,88.875,75.875,10a,0.0,
229,2,robot,88.875,75.75,10a,0.25,
230,2,robot,88.875,75.75,10a,0.25,
231,2,robot,88.875,75.75,10a,0.25,
232,2,robot,88.875,75.75,10a,0.25,
233,2,robot,88.875,75.875,10a,0.0,
234,2,robot,88.875,75.875,10a,0.0,
235,2,robot,88.875,75.875,10a,0.25,
236,2,robot,88.875,75.875,10a,0.0,
237,2,robot,88.75,75.875,10a,0.25,
238,2,robot,88.75,75.875,10a,0.25,80.43339635996978
239,2,robot,88.75,75.875,10a,0.25,
240,2,robot,88.75,75.875,10a,0.25,
241,2,robot,88.875,75.875,10a,0.0,
242,2,robot,88.875,75.75,10a,0.25,
243,2,robot,88.875,75.875,10a,0.0,76.23831877737074
244,2,robot,88.875,75.875,10a,0.25,73.99208150200938
245,2,robot,88.875,75.875,10a,0.25,72.51950168747715
246,2,robot,88.875,75.75,10a,0.0,71.70991911862681
247,2,robot,88.875,75.75,10a,0.0,70.08410126412409
248,2,robot,88.875,75.75,10a,0.25,69.12330468083829
249,2,robot,88.875,75.875,10a,0.0,65.56878544704027
250,2,robot,88.875,75.875,10a,0.0,60.227952397537145
251,2,robot,88.875,75.875,10a,0.0,55.84255209963098
252,2,robot,88.875,75.875,10a,0.25,
253,2,robot,88.875,75.875,10a,0.25,
254,2,robot,88.875,75.875,10a,0.25,47.35520694707183
255,2,robot,88.875,75.875,10a,0.25,45.529008609896174
256,2,robot,88.875,75.875,10a,0.0,43.338240908001794
257,2,robot,88.875,75.875,10a,0.25,42.7333666471529
258,2,robot,88.875,75.875,10a,0.0,44.278945335226766
259,2,robot,88.875,75.875,10a,0.0,42.884474171895825
260,2,robot,88.875,75.875,10a,0.0,42.68782027698299
261,2,robot,88.875,75.875,10a,0.25,42.00297608503474
262,2,robot,88.875,75.875,10a,0.25,41.10067669759222
263,2,robot,88.875,75.875,10a,0.25,40.86028022419817
264,2,robot,88.875,75.75,10a,0.25,40.819151448799126
265,2,robot,88.875,75.75,10a,0.25,40.79905023404344
266,2,robot,88.875,75.75,10a,0.25,40.782387436245074
267,2,robot,88.875,75.75,10a,0.25,40.527768258318886
268,2,robot,88.875,75.875,10a,0.0,39.399000621843186
269,2,robot,88.875,75.75,10a,0.25,38.895091271264555
270,2,robot,88.875,75.75,10a,0.25,38.895091271264555
271,2,robot,88.875,75.875,10a,0.0,39.016222587534024
272,2,robot,88.875,75.75,10a,0.25,39.016222587534024
273,2,robot,88.875,75.875,10a,0.0,39.00981447020737
274,2,robot,88.875,75.75,10a,0.25,39.26273678693323
275,2,robot,88.875,75.875,10a,0.0,38.884846020011445
276,2,robot,88.875,75.875,10a,0.0,38.64138002194021
277,2,robot,88.875,75.875,10a,0.0,38.77015604817706
278,2,robot,88.875,75.875,10a,0.0,39.39483627329856
279,2,robot,88.875,75.875,10a,0.25,39.26273678693323
280,2,robot,88.875,75.875,10a,0.25,39.26273678693323
281,2,robot,88.875,75.875,10a,0.25,39.26273678693323
282,2,robot,88.875,75.875,10a,0.25,39.2661193015047
283,2,robot,88.875,75.875,10a,0.0,39.26273678693323
284,2,robot,88.875,75.75,10a,0.0,39.1377774662793
285,2,robot,88.875,75.75,10a,0.0,39.2661193015047
286,2,robot,88.875,75.875,10a,0.0,39.26989941418236
287,2,robot,88.875,75.75,10a,0.0,39.39106815002609
288,2,robot,88.875,75.75,10a,0.25,39.39106815002609
289,2,robot,88.875,75.75,10a,0.0,39.39483627329856
290,2,robot,88.875,75.75,10a,0.25,39.2661193015047
291,2,robot,88.875,75.75,10a,0.25,39.14117077962794
292,2,robot,88.875,75.75,10a,0.25,39.2661193015047
293,2,robot,88.875,75.875,10a,0.0,39.26989941418236
294,2,robot,88.875,75.875,10a,0.0,39.02002690926801
295,2,robot,88.875,75.875,10a,0.0,39.02002690926801
296,2,robot,88.875,75.875,10a,0.0,39.02423125443985
297,2,robot,88.875,75.875,10a,0.0,39.02423125443985
298,2,robot,88.875,75.875,10a,0.0,39.02883549377306
299,2,robot,88.875,75.875,10a,0.25,39.02883549377306
300,2,robot,88.875,75.875,10a,0.25,39.02883549377306
301,2,robot,88.875,75.875,10a,0.0,39.02423125443985
302,2,robot,88.875,75.875,10a,0.25,39.02883549377306
303,2,robot,88.875,75.875,10a,0.25,39.02423125443985
304,2,robot,88.875,75.875,10a,0.25,39.02423125443985
305,2,robot,88.875,75.75,10a,0.0,39.02423125443985
306,2,robot,88.875,75.875,10a,0.25,38.89930911982885
307,2,robot,88.875,75.875,10a,0.25,39.02423125443985
308,2,robot,88.875,75.875,10a,0.0,38.895091271264555
309,2,robot,88.875,75.75,10a,0.25,39.02002690926801
310,2,robot,88.875,75.75,10a,0.25,38.895091271264555
