frame,tracker_id,class_name,x_canon,y_canon,num_detecciones,area_pixeles
144,-1.0,orange ball,122.5,118.375,1,543.0
145,-1.0,orange ball,119.625,118.25,1,541.0
146,-1.0,orange ball,116.75,118.5,1,530.0
147,-1.0,orange ball,113.875,118.75,1,518.0
148,-1.0,orange ball,111.0,119.25,1,522.0
149,-1.0,orange ball,108.25,119.875,1,527.0
150,-1.0,orange ball,105.5,120.5,1,519.0
151,-1.0,orange ball,102.75,120.75,1,509.0
152,-1.0,orange ball,100.5,121.0,1,479.5
153,-1.0,orange ball,97.375,120.875,1,467.0
154,-1.0,orange ball,95.375,121.125,1,411.0
155,-1.0,orange ball,93.875,121.5,1,401.0
156,-1.0,orange ball,93.0,121.875,1,356.5
157,-1.0,orange ball,92.875,122.0,1,360.5
158,-1.0,orange ball,92.25,121.75,1,322.0
159,-1.0,orange ball,92.25,121.5,1,292.0
160,-1.0,orange ball,92.125,121.5,1,322.5
161,-1.0,orange ball,92.25,121.625,1,348.0
162,-1.0,orange ball,92.125,121.625,1,340.5
163,-1.0,orange ball,92.0,121.5,1,320.5
164,-1.0,orange ball,91.875,121.375,1,333.0
165,-1.0,orange ball,92.0,121.25,1,331.5
166,-1.0,orange ball,91.75,121.375,1,290.5
167,-1.0,orange ball,91.75,121.5,1,265.0
168,-1.0,orange ball,91.75,121.375,1,288.5
169,-1.0,orange ball,91.625,121.625,1,291.5
170,-1.0,orange ball,91.75,121.75,1,284.0
171,-1.0,orange ball,91.75,121.75,1,259.5
172,-1.0,orange ball,91.75,121.75,1,259.5
173,-1.0,orange ball,91.625,121.75,1,284.5
174,-1.0,orange ball,91.625,121.75,1,280.0
175,-1.0,orange ball,91.625,121.875,1,249.5
176,-1.0,orange ball,91.75,122.0,1,243.0
177,-1.0,orange ball,91.75,121.375,1,238.5
178,-1.0,orange ball,91.5,122.0,1,199.0
179,-1.0,orange ball,91.5,122.0,1,213.5
180,-1.0,orange ball,91.625,121.875,1,274.5
181,-1.0,orange ball,91.625,121.75,1,345.0
182,-1.0,orange ball,91.625,121.5,1,427.5
183,-1.0,orange ball,91.625,121.25,1,520.0
184,-1.0,orange ball,91.5,120.75,1,567.5
185,-1.0,orange ball,91.5,120.875,1,545.0
186,-1.0,orange ball,91.5,120.875,1,545.0
187,-1.0,orange ball,91.5,120.875,1,510.0
188,-1.0,orange ball,91.5,120.875,1,540.0
189,-1.0,orange ball,91.5,120.875,1,548.0
190,-1.0,orange ball,91.625,120.875,1,556.5
191,-1.0,orange ball,91.625,120.875,1,542.5
192,-1.0,orange ball,91.625,120.875,1,559.5
193,-1.0,orange ball,91.5,120.875,1,450.5
194,-1.0,orange ball,91.625,120.875,1,555.0
195,-1.0,orange ball,91.625,120.875,1,564.0
196,-1.0,orange ball,91.625,120.875,1,569.0
197,-1.0,orange ball,91.625,120.875,1,563.0
198,-1.0,orange ball,91.625,120.875,1,562.0
199,-1.0,orange ball,91.625,120.875,1,556.5
200,-1.0,orange ball,91.625,121.0,1,565.0
201,-1.0,orange ball,91.625,121.0,1,569.5
202,-1.0,orange ball,91.625,121.0,1,573.5
203,-1.0,orange ball,91.625,121.0,1,574.0
204,-1.0,orange ball,91.625,121.0,1,574.5
205,-1.0,orange ball,91.625,121.0,1,575.0
206,-1.0,orange ball,91.625,121.0,1,576.0
207,-1.0,orange ball,91.625,121.0,1,573.5
208,-1.0,orange ball,91.625,121.0,1,583.0
209,-1.0,orange ball,91.625,121.0,1,579.0
210,-1.0,orange ball,91.625,121.0,1,582.0
211,-1.0,orange ball,91.625,121.0,1,573.0
212,-1.0,orange ball,91.625,121.0,1,577.5
213,-1.0,orange ball,91.625,121.0,1,575.5
214,-1.0,orange ball,91.625,121.0,1,576.0
215,-1.0,orange ball,91.625,121.0,1,572.0
216,-1.0,orange ball,91.625,121.0,1,576.5
217,-1.0,orange ball,91.625,121.0,1,573.5
218,-1.0,orange ball,91.625,121.0,1,577.5
219,-1.0,orange ball,91.625,121.0,1,577.0
220,-1.0,orange ball,91.625,121.0,1,581.5
221,-1.0,orange ball,91.625,121.0,1,577.5
222,-1.0,orange ball,91.625,121.0,1,578.5
223,-1.0,orange ball,91.625,121.0,1,567.5
224,-1.0,orange ball,91.625,121.0,1,562.0
225,-1.0,orange ball,91.625,121.0,1,567.5
226,-1.0,orange ball,91.625,121.0,1,580.0
227,-1.0,orange ball,91.625,121.0,1,575.5
228,-1.0,orange ball,91.625,121.0,1,577.5
229,-1.0,orange ball,91.625,121.0,1,574.0
230,-1.0,orange ball,91.625,121.0,1,586.0
231,-1.0,orange ball,91.625,121.0,1,588.5
232,-1.0,orange ball,91.625,121.0,1,584.0
233,-1.0,orange ball,91.625,121.0,1,580.0
234,-1.0,orange ball,91.625,121.0,1,577.0
235,-1.0,orange ball,91.625,121.0,1,583.0
236,-1.0,orange ball,91.625,121.0,1,582.0
237,-1.0,orange ball,91.625,121.0,1,587.0
238,-1.0,orange ball,91.625,121.0,1,583.0
239,-1.0,orange ball,91.625,121.0,1,585.0
240,-1.0,orange ball,91.625,121.0,1,581.0
241,-1.0,orange ball,91.625,120.875,1,574.0
242,-1.0,orange ball,91.625,120.875,1,569.5
243,-1.0,orange ball,91.625,120.875,1,564.0
244,-1.0,orange ball,91.625,120.875,1,564.0
245,-1.0,orange ball,91.625,120.875,1,559.0
246,-1.0,orange ball,91.625,121.0,1,565.5
247,-1.0,orange ball,91.625,121.0,1,576.5
248,-1.0,orange ball,91.625,121.0,1,582.0
249,-1.0,orange ball,91.625,121.0,1,575.0
250,-1.0,orange ball,91.625,121.0,1,583.0
251,-1.0,orange ball,91.625,121.0,1,580.5
252,-1.0,orange ball,91.625,121.0,1,589.0
253,-1.0,orange ball,91.625,121.0,1,583.5
254,-1.0,orange ball,91.625,121.0,1,579.5
255,-1.0,orange ball,43.5,252.25,2,88.5
255,-1.0,orange ball,91.625,121.0,2,581.5
256,-1.0,orange ball,91.625,121.0,1,583.5
257,-1.0,orange ball,91.625,121.0,1,578.5
258,-1.0,orange ball,91.625,121.0,1,576.0
259,-1.0,orange ball,91.625,121.0,1,578.0
260,-1.0,orange ball,91.625,121.0,1,579.0
261,-1.0,orange ball,91.625,121.0,1,573.5
262,-1.0,orange ball,91.625,121.0,1,573.5
263,-1.0,orange ball,91.625,121.0,1,569.5
264,-1.0,orange ball,91.625,121.0,1,562.0
265,-1.0,orange ball,91.625,121.0,1,570.0
266,-1.0,orange ball,42.75,252.5,2,132.0
266,-1.0,orange ball,91.625,121.0,2,572.5
267,-1.0,orange ball,91.625,120.875,1,557.5
268,-1.0,orange ball,91.625,121.0,1,573.5
269,-1.0,orange ball,43.625,251.75,2,65.5
269,-1.0,orange ball,91.625,121.0,2,559.5
270,-1.0,orange ball,91.625,121.0,1,567.5
271,-1.0,orange ball,91.625,121.0,1,571.5
272,-1.0,orange ball,91.625,121.0,1,574.5
273,-1.0,orange ball,91.625,121.0,1,575.5
274,-1.0,orange ball,91.625,121.0,1,581.0
275,-1.0,orange ball,91.625,121.0,1,581.0
276,-1.0,orange ball,91.625,121.0,1,581.0
277,-1.0,orange ball,91.625,121.0,1,582.5
