frame,tracker_id,class_name,x_canon,y_canon,velocidad_pelota,distancia_pelota_10a,distancia_pelota_10b,distancia_pelota_17b,velocidad_10a,velocidad_10b,velocidad_17b
61,-1.0,orange ball,85.875,186.625,,45.34124088509268,72.25270323662637,15.460635497934748,1.5,1.75,2.0155644370746373
66,-1.0,orange ball,84.5,183.25,,45.08394947206822,71.12774599268559,15.82126733229674,1.7677669529663689,1.5,1.5811388300841898
68,-1.0,orange ball,84.75,180.375,,45.20871735627986,71.37773637486691,15.572411502397436,1.7677669529663689,1.6770509831248424,6.149186938124422
74,-1.0,orange ball,83.375,173.375,,45.20871735627986,71.25274117534005,15.833607453767446,0.7071067811865476,1.346291201783626,25.447249360196086
75,-1.0,orange ball,84.125,172.375,,45.20871735627986,71.25274117534005,15.709272739372755,0.5590169943749475,1.346291201783626,27.789386463180506
81,-1.0,orange ball,86.5,163.875,,45.08394947206822,71.25274117534005,15.945708670360185,0.5590169943749475,0.25,40.22514760693862
82,-1.0,orange ball,87.375,162.5,,45.33348651934903,71.25274117534005,15.945708670360185,0.25,0.5590169943749475,39.45883931389772
127,-1.0,orange ball,175.75,94.0,,18.019520665100945,157.91928317973077,100.09620372421723,0.25,0.0,1.7677669529663689
128,-1.0,orange ball,173.875,99.375,,25.667647437971404,166.30849534825333,107.20147503649379,0.3535533905932738,0.0,0.7905694150420949
129,-1.0,orange ball,175.375,104.5,,35.35047736594232,173.51625464203636,111.11459456345058,0.25,0.25,0.25
131,-1.0,orange ball,72.5,220.75,,,188.02534736040244,112.46700905154364,0.25,0.5590169943749475,0.3535533905932738
137,-1.0,orange ball,164.375,123.25,,36.46959349924263,,129.49722487374007,0.25,0.0,0.3535533905932738
138,-1.0,orange ball,157.25,122.875,,,194.11224201476836,128.4699624425881,0.25,0.25,0.25
140,-1.0,orange ball,142.375,121.125,,36.585516259853435,195.53312539055884,120.64598263100184,0.0,0.25,0.25
141,-1.0,orange ball,136.125,120.25,,,,118.81195752111822,0.0,0.25,0.0
142,-1.0,orange ball,130.5,119.5,29.85368124621513,30.387600267214257,188.0793133893252,121.13267519542363,0.25,0.0,0.25
143,-1.0,orange ball,126.25,118.75,29.934941684959107,29.13009612067904,187.20994231076511,122.43040114693736,0.25,0.3535533905932738,0.25
144,-1.0,orange ball,122.5,118.375,28.653279587059192,36.45759523062375,,120.05421952184771,0.0,0.25,0.3535533905932738
145,-1.0,orange ball,119.625,118.25,27.877168845645734,44.827621228434595,187.6280396156182,118.01251257811606,0.0,0.0,0.25
146,-1.0,orange ball,116.75,118.5,26.612696089203034,48.40615921553785,193.3726971420733,122.61480589635168,0.25,0.0,0.25
147,-1.0,orange ball,113.875,118.75,23.990598408198807,45.05083933735308,199.07948318448086,128.50735630694456,0.0,0.25,0.25
148,-1.0,orange ball,111.0,119.25,22.400851910637552,,200.12749842288042,126.36504659121525,0.25,0.25,0.5590169943749475
149,-1.0,orange ball,108.25,119.875,98.57653257119735,,197.40828566704084,118.79407076954641,0.25,0.3535533905932738,0.3535533905932738
150,-1.0,orange ball,105.5,120.5,97.58727419449086,,,,0.25,0.3535533905932738,0.3535533905932738
151,-1.0,orange ball,102.75,120.75,101.48288758262369,46.320385630950874,,,0.25,0.3535533905932738,0.25
152,-1.0,orange ball,100.5,121.0,148.00760115615682,,205.3686091519344,,0.25,0.5590169943749475,0.25
153,-1.0,orange ball,97.375,120.875,125.70390187764907,49.86638396755875,200.83594828864676,,0.25,0.5590169943749475,0.25
154,-1.0,orange ball,95.375,121.125,116.06201723950487,52.51339114930591,208.44982159982771,104.68718283534045,0.25,0.5,0.75
155,-1.0,orange ball,93.875,121.5,97.00289944120227,,,,0.25,0.5590169943749475,0.5590169943749475
156,-1.0,orange ball,93.0,121.875,86.3112101641496,,,101.0403694074799,0.25,0.5590169943749475,2.25
157,-1.0,orange ball,92.875,122.0,75.41593001481849,,224.718295872855,101.46312445908612,0.25,0.5590169943749475,2.2638462845343543
158,-1.0,orange ball,92.25,121.75,68.26419266350405,,,,0.25,0.5,1.0307764064044151
159,-1.0,orange ball,92.25,121.5,60.821973825254965,,,,0.0,0.5590169943749475,1.5
160,-1.0,orange ball,92.125,121.5,55.38275905008706,,208.35025347956744,,0.3535533905932738,0.5590169943749475,1.2747548783981961
161,-1.0,orange ball,92.25,121.625,49.39698877462067,,,,0.25,0.5590169943749475,1.0307764064044151
162,-1.0,orange ball,92.125,121.625,43.87838306045472,,188.44234031926052,,0.25,0.25,1.0307764064044151
163,-1.0,orange ball,92.0,121.5,38.265519727294965,,,,0.3535533905932738,0.5,1.0
164,-1.0,orange ball,91.875,121.375,32.887117538635096,,,83.7892631844916,0.5590169943749475,0.25,0.5590169943749475
165,-1.0,orange ball,92.0,121.25,27.04163456597992,,,,0.3535533905932738,0.0,0.5590169943749475
166,-1.0,orange ball,91.75,121.375,22.035482749420307,,,,0.3535533905932738,0.0,0.5
167,-1.0,orange ball,91.75,121.5,17.528548142958105,,,26.182353312870866,0.25,0.0,0.5590169943749475
168,-1.0,orange ball,91.75,121.375,11.294356998076518,,,29.539433389961967,0.3535533905932738,0.0,0.0
169,-1.0,orange ball,91.625,121.625,7.566372975210779,,,,0.25,0.25,0.25
170,-1.0,orange ball,91.75,121.75,4.2793106921559225,86.82570543911521,,21.940615875585625,0.25,0.0,0.25
171,-1.0,orange ball,91.75,121.75,2.5124689052802225,,131.56224762446104,16.29512964047847,0.3535533905932738,0.25,2.0155644370746373
172,-1.0,orange ball,91.75,121.75,2.3048861143232218,147.05441169852742,,15.774286830154953,0.25,0.3535533905932738,1.25
173,-1.0,orange ball,91.625,121.75,1.25,135.52790303107327,124.83814521211055,15.933945682096446,0.25,0.3535533905932738,0.0
174,-1.0,orange ball,91.625,121.75,1.346291201783626,126.63246522910308,122.42248823235052,,0.25,0.25,1.0
175,-1.0,orange ball,91.625,121.875,1.25,114.54563773885063,,,0.3535533905932738,0.3535533905932738,0.75
176,-1.0,orange ball,91.75,122.0,1.25,105.5877153129094,118.22997980630801,,0.3535533905932738,0.25,0.25
177,-1.0,orange ball,91.75,121.375,0.9013878188659973,103.83911835141899,117.55982519551482,34.40975515751311,0.3535533905932738,0.25,0.5
178,-1.0,orange ball,91.5,122.0,1.4142135623730951,103.04041986036353,116.65768566622604,,0.0,0.3535533905932738,0.25
179,-1.0,orange ball,91.5,122.0,1.4577379737113252,105.02150077484134,116.63310529176525,15.258194519667128,0.0,0.3535533905932738,0.0
180,-1.0,orange ball,91.625,121.875,1.4577379737113252,108.50590421723604,117.5255291415444,,0.0,0.25,0.5
181,-1.0,orange ball,91.625,121.75,0.7905694150420949,112.40614140250523,119.21527272124155,15.800019778468632,0.0,0.5,0.0
182,-1.0,orange ball,91.625,121.5,0.25,115.88315774951941,124.10561278604607,,0.25,0.3535533905932738,0.25
183,-1.0,orange ball,91.625,121.25,0.3535533905932738,119.33572652395426,128.70684956520378,15.892706660603787,0.5590169943749475,0.25,0.25
184,-1.0,orange ball,91.5,120.75,1.7677669529663689,120.56280780157702,133.27515006556925,16.333439625504482,0.3535533905932738,0.0,0.5590169943749475
185,-1.0,orange ball,91.5,120.875,1.8200274723201295,116.32954267940711,137.17518452693986,15.600981539633972,0.3535533905932738,0.5,0.0
186,-1.0,orange ball,91.5,120.875,1.8200274723201295,113.52711680475286,141.57004670833444,17.890290662814845,0.25,0.3535533905932738,0.0
187,-1.0,orange ball,91.5,120.875,1.8200274723201295,108.973620661149,145.5855633296104,,0.0,0.25,0.5
188,-1.0,orange ball,91.5,120.875,1.7677669529663689,104.68583953907041,148.69626130135217,,0.25,0.25,0.5
189,-1.0,orange ball,91.5,120.875,1.7677669529663689,100.2697143957237,148.1141873690701,42.66017610137117,0.25,0.25,0.0
190,-1.0,orange ball,91.625,120.875,2.0,95.2644346017967,143.50658739235632,,0.25,0.0,0.25
191,-1.0,orange ball,91.625,120.875,2.2638462845343543,91.84914602215962,137.95436292484555,46.516965990915615,0.5590169943749475,0.5,0.25
192,-1.0,orange ball,91.625,120.875,1.0307764064044151,91.71397453496387,132.59672177320223,,0.3535533905932738,0.25,0.0
193,-1.0,orange ball,91.5,120.875,2.25,93.06759975952963,128.64315955386047,,1.0,0.25,0.25
194,-1.0,orange ball,91.625,120.875,2.2638462845343543,,124.2276136774751,,0.5590169943749475,0.3535533905932738,0.0
195,-1.0,orange ball,91.625,120.875,2.0,,122.79454385272987,,0.0,0.25,0.5
196,-1.0,orange ball,91.625,120.875,1.75,,122.66583163212158,,0.25,0.5,0.0
197,-1.0,orange ball,91.625,120.875,1.25,89.72153100008939,,49.50536587078213,0.25,0.25,0.5590169943749475
198,-1.0,orange ball,91.625,120.875,0.75,,,48.490334088352085,0.3535533905932738,0.25,0.7905694150420949
199,-1.0,orange ball,91.625,120.875,0.3535533905932738,,,,0.3535533905932738,0.25,1.118033988749895
200,-1.0,orange ball,91.625,121.0,0.3535533905932738,,116.98190298076024,,0.3535533905932738,0.3535533905932738,0.0
201,-1.0,orange ball,91.625,121.0,0.3535533905932738,42.9339973098243,,46.30891517839734,0.3535533905932738,0.5,0.5590169943749475
202,-1.0,orange ball,91.625,121.0,0.3535533905932738,42.39730239060028,,,0.5590169943749475,0.25,0.5590169943749475
203,-1.0,orange ball,91.625,121.0,0.3535533905932738,40.62673073236388,,45.78840601069227,0.25,0.25,0.7905694150420949
204,-1.0,orange ball,91.625,121.0,0.3535533905932738,39.75962933680343,73.77012437294653,,0.25,0.5,0.7905694150420949
205,-1.0,orange ball,91.625,121.0,0.25,39.27865196261195,73.3880950836033,44.39189819099877,0.25,0.3535533905932738,1.0307764064044151
206,-1.0,orange ball,91.625,121.0,0.25,39.90809754924431,71.3240842913528,43.438534160351225,0.5590169943749475,0.25,0.5590169943749475
207,-1.0,orange ball,91.625,121.0,0.25,39.5506005011302,69.79478848739353,42.20948501225761,0.3535533905932738,0.3535533905932738,0.5590169943749475
208,-1.0,orange ball,91.625,121.0,0.3535533905932738,39.446561954117115,70.78190535016701,40.935352997134395,1.0307764064044151,0.3535533905932738,0.7905694150420949
209,-1.0,orange ball,91.625,121.0,0.25,39.40356107003528,71.27806464824926,40.26183832116959,0.5,0.25,0.5590169943749475
210,-1.0,orange ball,91.625,121.0,0.25,36.49828763106565,73.27729866745908,40.311288741492746,0.3535533905932738,0.3535533905932738,0.5590169943749475
211,-1.0,orange ball,91.625,121.0,0.25,38.6575510088262,72.78875685845995,40.762268091949935,0.25,0.3535533905932738,0.5
212,-1.0,orange ball,91.625,121.0,0.25,58.51348669324022,73.01123629277893,,0.3535533905932738,0.0,0.5
213,-1.0,orange ball,91.625,121.0,0.25,67.86245279976255,70.83442401121081,43.60690885628102,0.0,0.25,0.0
214,-1.0,orange ball,91.625,121.0,0.25,65.71588944083463,79.40019285241063,44.17649261768073,0.0,0.25,0.25
215,-1.0,orange ball,91.625,121.0,0.0,,99.33434703062179,44.37130266286984,0.0,0.3535533905932738,0.3535533905932738
216,-1.0,orange ball,91.625,121.0,0.0,,100.68344575946932,,0.0,0.3535533905932738,0.3535533905932738
217,-1.0,orange ball,91.625,121.0,0.0,,,46.1454900288208,0.5590169943749475,0.3535533905932738,0.3535533905932738
218,-1.0,orange ball,91.625,121.0,0.0,76.262396533285,,47.88740048279923,0.0,0.3535533905932738,0.25
219,-1.0,orange ball,91.625,121.0,0.0,,,,0.0,0.25,0.25
220,-1.0,orange ball,91.625,121.0,0.0,44.56911767132035,,52.39408959987758,0.25,0.25,0.5
221,-1.0,orange ball,91.625,121.0,0.0,42.626649528200076,,,0.25,0.3535533905932738,0.5
222,-1.0,orange ball,91.625,121.0,0.0,41.56790378404954,85.30652451600639,59.00450194688538,0.25,0.3535533905932738,0.3535533905932738
223,-1.0,orange ball,91.625,121.0,0.0,41.63701027931761,81.52990248982272,64.90377492873584,0.25,0.3535533905932738,0.0
224,-1.0,orange ball,91.625,121.0,0.0,40.701850387912344,78.10899836126437,71.26096406869613,0.25,0.3535533905932738,0.25
225,-1.0,orange ball,91.625,121.0,0.0,36.5551808913593,76.39801208146714,77.43596144557127,0.25,0.3535533905932738,0.25
226,-1.0,orange ball,91.625,121.0,0.0,,75.64524522400599,,0.0,0.25,0.5590169943749475
227,-1.0,orange ball,91.625,121.0,0.0,74.07607997862738,73.91728908043098,,0.0,0.25,0.5590169943749475
228,-1.0,orange ball,91.625,121.0,0.0,,,,0.0,0.25,0.25
229,-1.0,orange ball,91.625,121.0,0.0,,,,0.25,0.25,0.0
230,-1.0,orange ball,91.625,121.0,0.0,,,81.11662129304943,0.25,0.0,0.0
231,-1.0,orange ball,91.625,121.0,0.0,,,,0.25,0.0,0.5
232,-1.0,orange ball,91.625,121.0,0.0,,,,0.25,0.0,0.25
233,-1.0,orange ball,91.625,121.0,0.0,,,,0.0,0.0,0.5
234,-1.0,orange ball,91.625,121.0,0.0,,,,0.0,0.25,0.5
235,-1.0,orange ball,91.625,121.0,0.0,,,58.45003207869094,0.25,0.25,0.25
236,-1.0,orange ball,91.625,121.0,0.0,,,58.90842999944915,0.0,0.25,0.0
237,-1.0,orange ball,91.625,121.0,0.0,,,58.40644228165246,0.25,0.0,0.3535533905932738
238,-1.0,orange ball,91.625,121.0,0.0,80.43339635996978,,54.395829343801715,0.25,0.0,0.5590169943749475
239,-1.0,orange ball,91.625,121.0,0.0,,,48.13668689263938,0.25,0.0,0.25
240,-1.0,orange ball,91.625,121.0,0.0,,,38.5750081011009,0.25,0.0,0.25
241,-1.0,orange ball,91.625,120.875,0.25,,,28.26575887889798,0.0,0.3535533905932738,0.25
