frame,tracker_id,class_name,x_canon,y_canon,jugador,velocidad_10b,distancia_pelota_10b
1,0,robot,89.75,53.75,10b,,
2,0,robot,89.875,53.0,10b,,
3,0,robot,89.75,52.625,10b,,
4,0,robot,89.75,52.0,10b,,
5,0,robot,89.75,51.625,10b,,
6,0,robot,89.5,51.25,10b,,
7,0,robot,89.375,50.625,10b,,
8,0,robot,89.375,50.125,10b,,
9,0,robot,89.375,49.5,10b,,
10,0,robot,89.375,49.125,10b,,
11,0,robot,89.375,48.75,10b,,
12,0,robot,89.375,48.375,10b,,
13,0,robot,89.5,48.25,10b,,
14,0,robot,89.5,48.125,10b,,
15,0,robot,89.625,48.0,10b,,
16,0,robot,89.625,47.875,10b,11.75265927354316,
17,0,robot,89.75,48.0,10b,10.003124511871277,
18,0,robot,89.875,48.0,10b,9.253377761660873,
19,0,robot,89.875,48.25,10b,7.504165509901817,
20,0,robot,89.75,48.25,10b,6.75,
21,0,robot,90.0,48.625,10b,5.344389581607987,136.60578547411527
22,0,robot,89.75,48.75,10b,3.824264635194589,
23,0,robot,89.875,49.0,10b,2.462214450449026,
24,0,robot,89.75,49.25,10b,0.9013878188659973,
25,0,robot,89.75,49.375,10b,0.9013878188659973,
26,0,robot,89.875,49.5,10b,1.8027756377319946,
27,0,robot,89.75,49.75,10b,2.850438562747845,
28,0,robot,89.75,49.75,10b,3.0413812651491097,112.69164232541826
29,0,robot,89.75,49.75,10b,3.2882366094914763,
30,0,robot,89.75,49.875,10b,3.7583240945932266,111.64074636977307
31,0,robot,89.625,49.875,10b,4.0,112.38674855159749
32,0,robot,89.625,49.875,10b,3.7583240945932266,110.6478789900647
33,0,robot,89.625,49.75,10b,3.5355339059327378,
34,0,robot,89.5,49.875,10b,3.3354160160315836,
35,0,robot,89.625,49.75,10b,3.010398644698074,112.30072628883573
36,0,robot,89.625,49.625,10b,2.1360009363293826,
37,0,robot,89.625,49.625,10b,1.7677669529663689,
38,0,robot,89.75,49.5,10b,1.0307764064044151,
39,0,robot,89.875,49.375,10b,0.3535533905932738,
40,0,robot,90.0,49.25,10b,0.5590169943749475,
41,0,robot,90.125,49.125,10b,0.9013878188659973,
42,0,robot,90.5,49.125,10b,1.9525624189766635,
43,0,robot,90.625,49.0,10b,2.3048861143232218,95.55381337236102
44,0,robot,90.875,49.125,10b,2.57390753524675,
45,0,robot,91.0,49.0,10b,3.0516389039334255,
46,0,robot,91.25,49.25,10b,3.48209706929603,
47,0,robot,91.5,49.125,10b,4.038873605350878,92.98269328213719
48,0,robot,91.625,49.125,10b,4.190763653560053,80.20540037927621
49,0,robot,91.75,49.25,10b,4.670385423067351,74.30774269886012
50,0,robot,92.0,49.5,10b,4.7762432936357,72.28599881719835
51,0,robot,91.875,49.75,10b,4.5069390943299865,71.96570363721875
52,0,robot,91.875,49.75,10b,4.5069390943299865,71.51671570339343
53,0,robot,91.875,50.0,10b,4.366062299143245,72.14936763409642
54,0,robot,91.875,50.25,10b,4.366062299143245,71.63383453368945
55,0,robot,91.75,50.125,10b,3.913118960624632,71.758819144409
56,0,robot,91.75,50.125,10b,3.816084380618437,71.62892659393968
57,0,robot,91.625,50.125,10b,3.010398644698074,71.87771733993783
58,0,robot,91.5,50.25,10b,3.0516389039334255,72.00531664398123
59,0,robot,91.375,50.125,10b,2.23606797749979,72.12889937466119
60,0,robot,91.375,50.25,10b,2.6100766272276377,72.37672709510979
61,0,robot,91.25,50.125,10b,1.75,72.25270323662637
62,0,robot,91.25,50.0,10b,1.8200274723201295,71.00176054155277
63,0,robot,91.25,50.0,10b,1.9039432764659774,71.12675744753166
64,0,robot,91.125,50.0,10b,1.9525624189766635,71.12895419588284
65,0,robot,91.25,50.0,10b,1.8027756377319946,71.12675744753166
66,0,robot,91.125,49.75,10b,1.5,71.12774599268559
67,0,robot,91.125,49.625,10b,1.5206906325745548,71.25274117534005
68,0,robot,91.125,49.625,10b,1.6770509831248424,71.37773637486691
69,0,robot,91.125,49.625,10b,1.9525624189766635,71.37773637486691
70,0,robot,91.125,49.625,10b,1.6007810593582121,71.37675129199984
71,0,robot,91.125,49.625,10b,1.6007810593582121,71.37675129199984
72,0,robot,91.125,49.625,10b,1.4142135623730951,71.37675129199984
73,0,robot,91.125,49.625,10b,1.4577379737113252,71.25175436436635
74,0,robot,91.125,49.5,10b,1.346291201783626,71.25274117534005
75,0,robot,91.125,49.625,10b,1.346291201783626,71.25274117534005
76,0,robot,91.25,49.75,10b,0.75,71.25175436436635
77,0,robot,91.25,49.75,10b,0.5,71.25175436436635
78,0,robot,91.25,49.75,10b,0.5,71.25175436436635
79,0,robot,91.25,49.875,10b,0.3535533905932738,71.25175436436635
80,0,robot,91.25,49.875,10b,0.25,71.25274117534005
81,0,robot,91.25,49.75,10b,0.25,71.25274117534005
82,0,robot,91.25,49.875,10b,0.5590169943749475,71.25274117534005
83,0,robot,91.25,49.75,10b,0.3535533905932738,71.37773637486691
84,0,robot,91.25,49.875,10b,0.5590169943749475,71.25274117534005
85,0,robot,91.25,49.75,10b,0.3535533905932738,71.37773637486691
86,0,robot,91.25,49.75,10b,0.3535533905932738,71.37773637486691
87,0,robot,91.125,49.875,10b,0.5,71.37773637486691
88,0,robot,91.125,49.75,10b,0.25,71.50273159117769
89,0,robot,91.125,49.75,10b,0.5,71.50273159117769
90,0,robot,91.125,49.75,10b,0.25,71.37675129199984
91,0,robot,91.125,49.625,10b,0.3535533905932738,71.37675129199984
92,0,robot,91.125,49.625,10b,0.3535533905932738,71.37675129199984
93,0,robot,91.125,49.5,10b,0.5590169943749475,71.37675129199984
94,0,robot,91.25,49.625,10b,0.5,71.50174823037545
95,0,robot,91.25,49.75,10b,0.25,71.37675129199984
96,0,robot,91.25,49.75,10b,0.0,71.62598166866546
97,0,robot,91.25,49.875,10b,0.0,71.50174823037545
98,0,robot,91.25,49.875,10b,0.25,71.50174823037545
99,0,robot,91.25,49.875,10b,0.0,71.37675129199984
100,0,robot,91.125,50.0,10b,0.5590169943749475,71.25175436436635
101,0,robot,91.125,49.75,10b,0.25,71.37675129199984
102,0,robot,91.125,49.875,10b,0.0,71.37675129199984
103,0,robot,91.0,49.875,10b,0.3535533905932738,71.50273159117769
104,0,robot,91.125,49.75,10b,0.0,71.50174823037545
105,0,robot,91.125,49.75,10b,0.0,71.50174823037545
106,0,robot,91.125,49.75,10b,0.25,71.37675129199984
107,0,robot,91.125,49.75,10b,0.25,71.7527220738001
108,0,robot,91.125,49.75,10b,0.5,73.00524381850937
109,0,robot,91.125,49.75,10b,0.3535533905932738,75.00374990625468
110,0,robot,91.125,49.75,10b,0.25,76.75162864721504
111,0,robot,91.125,49.75,10b,0.25,78.75158728559063
112,0,robot,91.125,49.625,10b,0.5590169943749475,80.50155278005512
113,0,robot,91.125,49.75,10b,0.3535533905932738,80.75154797277882
114,0,robot,91.125,49.625,10b,0.5590169943749475,77.50010080638606
115,0,robot,91.0,49.5,10b,1.0307764064044151,73.50010629244015
116,0,robot,91.0,49.5,10b,0.5590169943749475,71.0
117,0,robot,91.125,49.625,10b,0.5,80.12851006352233
